 INFO  Accepting connections at http://localhost:3000
 HTTP  9/18/2026 7:59:58 AM ::1 GET /
 HTTP  9/18/2026 7:59:58 AM ::1 Returned 200 in 268 ms
 HTTP  9/18/2026 8:00:30 AM ::1 GET /
 HTTP  9/18/2026 8:00:30 AM ::1 Returned 200 in 19 ms
 HTTP  9/18/2026 8:00:31 AM ::1 GET /js/app.js
 HTTP  9/18/2026 8:00:31 AM ::1 Returned 200 in 4 ms
 HTTP  9/18/2026 8:01:14 AM ::1 GET /
 HTTP  9/18/2026 8:01:14 AM ::1 Returned 200 in 1 ms
 HTTP  9/18/2026 8:01:14 AM ::1 GET /js/app.js
 HTTP  9/18/2026 8:01:14 AM ::1 Returned 200 in 2 ms
 HTTP  9/18/2026 8:02:02 AM ::1 GET /
 HTTP  9/18/2026 8:02:02 AM ::1 Returned 200 in 2 ms
 HTTP  9/18/2026 8:02:02 AM ::1 GET /js/app.js
 HTTP  9/18/2026 8:02:02 AM ::1 Returned 200 in 5 ms
 HTTP  9/18/2026 8:03:21 AM ::1 GET /
 HTTP  9/18/2026 8:03:21 AM ::1 Returned 200 in 2 ms
 HTTP  9/18/2026 8:03:21 AM ::1 GET /js/app.js
 HTTP  9/18/2026 8:03:21 AM ::1 Returned 200 in 3 ms
